478,Advanced Institute of Industrial Technology,Tokyo
614,Aichi Bunkyo University,Komaki
232,Aichi Gakuin University,Nisshin
Un,Aichi Gakusen University,Toyota
341,Aichi Institute of Technology,Toyota
227,Aichi Medical University,Nagakute
702,Aichi Mizuho College,Nagoya
271,Aichi Prefectural University,Nagakute
530,Aichi Prefectural University of Fine Arts and Music,Nagakute
474,Aichi Sangyo University,Okazaki
249,Aichi Shukutoku University,Nagoya
608,Aichi Toho University,Nagoya
137,Aichi University,Nagoya
180,Aichi University of Education,Kariya
503,Aichi University of Technology,Gamagori
659,Aikoku Gakuen University,Yotsukaido
682,Aino University,Takatsuki
205,Akita International University,Akita
285,Akita Prefectural University,Akita
79,Akita University,Akita City
674,Akita University of Nursing and Welfare,Odate
586,Aomori Chuo Gakuin University,Aomori
535,Aomori Public University,Aomori
543,Aomori University,Aomori
459,Aomori University of Health and Welfare,Aomori
48,Aoyama Gakuin University,Tokyo
312,Asahi University,Gifu
172,Asahikawa Medical University,Asahikawa
509,Asahikawa University,Asahikawa
430,Ashikaga Institute of Technology,Ashikaga
527,Ashiya University,Ashiya
218,Asia University,Musashino
322,Atomi University,Niiza
291,Azabu University,Sagamihara
428,Baika Women's University,Ibaraki
571,Baiko Gakuin University,Shimonoseki
381,Beppu University,Beppu
540,Biwako Seikei Sport College,Otsu
169,Bukkyo University,Kyoto
695,Bunka Fashion Graduate University,Tokyo
435,Bunka Gakuen University,Tokyo
305,Bunkyo Gakuin University,Tokyo
179,Bunkyo University,Koshigaya
Un,Bunri University of Hospitality,Sayama
631,Bunsei University of Art,Utsunomiya
399,Chiba Institute of Science,Choshi
138,Chiba Institute of Technology,Narashino
565,Chiba Keizai University,Chiba
33,Chiba University,Chiba
168,Chiba University of Commerce,Ichikawa
449,Chikushi Jogakuen University,Dazaifu
437,Chitose Institute of Science and Technology,Chitose
228,Chubu Gakuin University,Seki
107,Chubu University,Kasugai
584,Chugoku Gakuen University,Okayama
597,Chukyo Gakuin University,Nakatsugawa
128,Chukyo University,Nagoya
390,Chuo Gakuin University,Abiko
22,Chuo University,Hachioji
392,Cyber University,Fukuoka
386,Daido University,Nagoya
547,Daiichi Institute of Technology,Kirishima
492,Daiichi University of Pharmacy,Fukuoka
153,Daito Bunka University,Tokyo
595,Den-en Chofu University,Kawasaki
239,Digital Hollywood University,Tokyo
490,Doho University,Nagoya
166,Dokkyo Medical University,Tochigi
142,Dokkyo University,Soka
19,Doshisha University,Kyoto
699,Doshisha Women's College of Liberal Arts,Kyotanabe
353,Edogawa University,Nagareyama
601,Ehime Prefectural University of Health Sciences,Tobe
37,Ehime University,Matsuyama
568,Elisabeth University of Music,Hiroshima
309,Ferris University,Yokohama
692,Fuji University,Hanamaki
343,Fuji Women's University,Sapporo
91,Fujita Health University,Toyoake
260,Fukui Prefectural University,Eiheiji
394,Fukui University of Technology,Fukui
420,Fukuoka Dental College,Fukuoka
145,Fukuoka Institute of Technology,Fukuoka
684,Fukuoka International University,Dazaifu
355,Fukuoka Jo Gakuin University,Fukuoka
513,Fukuoka Prefectural University,Tagawa
69,Fukuoka University,Fukuoka
230,Fukuoka University of Education,Munakata
434,Fukuoka Women's University,Fukuoka
638,Fukushima College,Fukushima
125,Fukushima Medical University,Fukushima
170,Fukushima University,Fukushima
538,Fukuyama Heisei University,Fukuyama
293,Fukuyama University,Fukuyama
215,Future University Hakodate,Hakodate
77,Gakushuin University,Tokyo
705,Gakushuin Women's College,Tokyo
657,Gifu College of Nursing,Hashima
566,Gifu Kyoritsu University,Ogaki
453,Gifu Pharmaceutical University,Gifu
274,Gifu Shotoku Gakuen University,Gifu
41,Gifu University,Gifu
581,Gifu University of Medical Science,Seki
306,Gifu Women's University,Gifu
669,Graduate Institute for Entrepreneurial Studies,Niigata
103,"Graduate School of Management, Globis University",Tokyo
609,Gumma Paz College,Takasaki
615,Gunma Prefectural College of Health Sciences,Maebashi
504,Gunma Prefectural Women's University,Tamamura
43,Gunma University,Maebashi
675,Gunma University of Social Welfare,Maebashi
369,Hachinohe Institute of Technology,Hachinohe
517,Hachinohe University,Hachinohe
557,Hagoromo University of International Studies,Sakai
